"","Country_of_Origin","X1990","X1995","X2000","X2005","X2010","X2015","X2020"
"1","WORLD","62744","70848","83410","109461","157788","184710","313165"
"2","  Sub-Saharan Africa","19","26","37","48","73","83","98"
"3","  Northern Africa and Western Asia","985","1173","1448","1667","2230","2601","3126"
"4","  Central and Southern Asia","1555","1837","2238","2834","4010","4693","5632"
"5","  Eastern and South-Eastern Asia","11012","11557","12838","14290","18652","21831","26222"
"6","  Latin America and the Caribbean","39997","45877","54671","73228","106707","124922","241092"
"7","  Oceania (excluding Australia and New Zealand)","0","0","0","0","0","0","0"
"8","  Australia and New Zealand","132","103","81","165","282","329","394"
"9","  Europe and Northern America","8785","9867","11599","16737","25300","29602","35536"
"10","  Developed regions","9086","10214","12015","17198","25899","30303","36376"
"11","  Less developed regions","53399","60226","70897","91771","131355","153758","275724"
"12"," Less developed regions, excluding least developed countries","53247","59981","70540","91345","130771","153076","274905"
"13"," Less developed regions, excluding China","42977","49517","59226","79129","115173","134812","252960"
"14","  Least developed countries","152","245","357","426","584","682","819"
"15","  Land-locked Developing Countries (LLDC)","251","229","224","324","492","576","688"
"16","  Small island developing States (SIDS)","6473","7544","9102","9299","11388","13327","14781"
"17","  High-income countries","10934","12266","14407","19732","29085","34031","40853"
"18","  Middle-income countries","51335","57836","68019","88686","127439","149177","270212"
"19"," Upper-middle-income countries","41586","47789","57025","73881","105801","123856","239540"
"20"," Lower-middle-income countries","9749","10047","10994","14805","21638","25321","30672"
"21","  Low-income countries","205","323","464","523","690","807","980"
"22"," AFRICA","75","104","147","172","238","273","324"
"23","  Eastern Africa","0","0","0","0","0","0","0"
"24","  Middle Africa","0","0","0","0","0","0","0"
"25","  Northern Africa","56","78","110","124","165","190","226"
"26","  Southern Africa","12","17","24","28","40","46","55"
"27","  Western Africa","7","9","13","20","33","37","43"
"28"," ASIA","13496","14489","16414","18667","24727","28935","34754"
"29","  Central Asia","0","0","0","0","0","0","0"
"30","  Eastern Asia","10687","11092","12197","13181","16844","19720","23693"
"31","  South-Eastern Asia","325","465","641","1109","1808","2111","2529"
